Residence Time (min),Tyrosine ratio,k1,k2,area,area_k1-,area_k1+,area_k2-,area_k2+,Sens_area_k1,Sens_area_k2
9.5,0.93,0.083210875,0.084336666,0.008847216,0.001270907,0.001301266,-0.000354632,-0.000135946,-3.08E-01,-1.68E-02
9.7,0.63,0.085852029,0.02913508,0.281693953,0.287714385,0.275874319,0.283226648,0.280412215,-6.895623894,-4.829973053
7.3,0.93,0.075528982,0.044261775,0.021456916,0.0222284,0.020731714,0.021480675,0.021428537,-0.99080245,-0.058897322
8.7,0.8,0.010357709,0.035547986,1.547899914,1.557764076,1.53810233,1.549364372,1.546441814,-94.91358868,-4.110722277
6.1,0.56,0.043090191,0.05816321,1.616559625,1.629632892,1.603636468,1.619984036,1.613162611,-30.1651299,-5.864037597
5.7,0.22,0.076817501,0.061792716,4.977316861,4.986538155,4.968241417,4.982350519,4.972340486,-11.90922493,-8.099686805
1,0.09,0.061790715,0.054876014,1.606122439,1.60642925,1.605813995,1.606150494,1.606094421,-0.497853923,-0.051090628
8.5,0.17,0.032671057,0.05131857,9.109341775,9.122718745,9.096016527,9.113998699,9.104776507,-40.86525013,-8.985238753
5,0.1,0.088090884,0.019765649,7.014827332,7.017554988,7.012210225,7.016801062,7.012861557,-3.033664065,-9.965533912
1.5,0.13,0.025864947,0.03372122,2.300015834,2.300507128,2.299525733,2.300059367,2.299971278,-1.897152519,-0.130613603
1.3,0.32,0.091984984,0.014440816,1.387991848,1.389616096,1.386374187,1.388041697,1.387942024,-1.762194695,-0.345108625
2.6,0.2,0.047274907,0.021464745,3.33059072,3.333516719,3.327681278,3.330956789,3.33022512,-6.171816502,-1.704350582
5.5,0.3,0.073897299,0.045228873,3.747202572,3.758219209,3.736377883,3.752355347,3.742095029,-14.77816251,-11.34266389
1.8,0.74,0.052274801,0.010544989,0.620781798,0.622586831,0.618983879,0.620802151,0.620761449,-3.446165194,-0.192992141
6.5,0.55,0.077850404,0.028389866,1.139810159,1.151050516,1.128726246,1.142460655,1.137174575,-14.3379282,-9.309800968
7.5,0.77,0.096677846,0.038991179,0.091313757,0.093741029,0.088954381,0.091558795,0.091062592,-2.475566107,-0.636301612
8.3,0.94,0.056530534,0.0977348,0.023663443,0.024503143,0.022908152,0.023765558,0.023615827,-1.410734057,-0.076600658
4,0.76,0.088634527,0.015137039,0.407376789,0.412406585,0.402414346,0.407543759,0.407209985,-5.636764411,-1.102507529
2.6,0.67,0.011578044,0.04179481,1.371627622,1.373149761,1.370108817,1.371745889,1.371509535,-13.13237324,-0.282755203
9.3,0.68,0.038973523,0.095660343,0.500638261,0.509288067,0.492205651,0.50297113,0.498221392,-21.91541155,-2.482605562
8.1,0.25,0.037579804,0.079562034,6.153822353,6.171735536,6.136158396,6.15886188,6.148879992,-47.33545194,-6.273022139
6.8,0.84,0.028655419,0.081533299,0.484525942,0.490364008,0.478785119,0.485458138,0.483598652,-20.20366398,-1.140323043
9.7,0.79,0.090795861,0.040800077,0.044454747,0.0351369,0.032349754,0.033685373,0.034585986,-1.3196,-3.02E-01
4.8,0.57,0.096232187,0.082768602,0.800860909,0.809251139,0.792597697,0.803246855,0.798487168,-8.65274008,-2.87529745
5.6,0.47,0.012965502,0.060048234,3.900768912,3.911388789,3.890202266,3.903110727,3.898448639,-81.70344032,-3.881952633
6.5,0.62,0.078832884,0.055096357,0.589439524,0.5976427,0.581381961,0.591504285,0.587392763,-10.31342389,-3.731210373
1.7,0.7,0.032209239,0.057154089,0.770389396,0.771703631,0.769078934,0.770467518,0.770311333,-4.074447399,-0.136635019
1.9,0.12,0.046378647,0.089652554,2.85076818,2.852085628,2.84945317,2.851068447,2.85046652,-2.838006452,-0.335699862
1.4,0.91,0.0950866,0.011695876,0.138652414,0.139317299,0.137991364,0.138654274,0.138650553,-0.69722495,-0.015907316
1.6,0.15,0.044370623,0.064731112,2.332521425,2.333535982,2.331510642,2.33268419,2.33235961,-2.282298376,-0.250714062
3.7,0.59,0.097389043,0.059118936,0.888537994,0.895951235,0.881218996,0.889927146,0.887161317,-7.563601867,-2.339207367
3.3,0.67,0.071408037,0.052514973,0.822339537,0.828298075,0.816439888,0.823058193,0.821622947,-8.303117929,-1.366511213
6.4,0.54,0.094215303,0.094572946,0.656886322,0.665377401,0.64854794,0.659981359,0.653832026,-8.931384028,-3.251105759
4.6,0.89,0.029370581,0.08567961,0.388576038,0.391647006,0.385533192,0.388862153,0.388290639,-10.40805766,-0.333518091
6.7,0.53,0.064709208,0.031311166,1.457275419,1.470129935,1.444697463,1.460676583,1.453894576,-19.65135463,-10.83001344
2.9,0.34,0.065328777,0.083717311,2.410669175,2.416994205,2.404381747,2.41228478,2.40904857,-9.653064546,-1.932820092
7,0.19,0.030213419,0.069742238,7.416812797,7.430208684,7.403566075,7.420708426,7.413042167,-44.09068881,-5.496137779
3.8,0.15,0.068178624,0.060461637,4.768599548,4.773714652,4.763544467,4.770642583,4.766574731,-7.458485078,-3.363994237
5.3,0.34,0.080871269,0.063687523,2.887178897,2.898770332,2.875780316,2.892293921,2.882131025,-14.21395766,-7.978718196
3,0.88,0.062917136,0.069109178,0.255388128,0.257596927,0.253201548,0.255498904,0.255277444,-3.492990374,-0.160224739

